Date,Time,Theater,Film,Runtime,isAlmostSoldOut,posterDynamic,first_seen_date,last_updated,source
09/20/2025,7:45 PM,SIFF Cinema Downtown,PTA: Boogie Nights,155,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/PTA/CIN_PTA-BoogieNights_1600x900.jpg,,,
09/23/2025,4:00 PM,SIFF Cinema Downtown,PTA: Boogie Nights,155,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/PTA/CIN_PTA-BoogieNights_1600x900.jpg,,,
09/16/2025,4:00 PM,SIFF Cinema Downtown,STAR WARS: THE PHANTOM MENACE,137,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/Star%20Wars%20Ultimate%20Cinematic%20Marathon/PhantomMenace.jpg,,,
10/21/2025,7:00 PM,SIFF Cinema Uptown,DocFest: 2000 Meters to Andriivka,106,None,https://www.siff.net/images/CINEMA/2025/DocFest/Key%20Stills/2000MeterstoAndriivka.jpg,,,
09/25/2025,4:30 PM,SIFF Cinema Uptown,Eleanor the Great,98,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_EleanortheGreat_1600x900.jpg,,,
09/25/2025,7:30 PM,SIFF Cinema Uptown,Eleanor the Great,98,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_EleanortheGreat_1600x900.jpg,,,
09/26/2025,4:20 PM,SIFF Cinema Uptown,Eleanor the Great,98,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_EleanortheGreat_1600x900.jpg,,,
09/26/2025,7:00 PM,SIFF Cinema Uptown,Eleanor the Great,98,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_EleanortheGreat_1600x900.jpg,,,
09/27/2025,11:00 AM,SIFF Cinema Uptown,Eleanor the Great,98,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_EleanortheGreat_1600x900.jpg,,,
09/27/2025,1:40 PM,SIFF Cinema Uptown,Eleanor the Great,98,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_EleanortheGreat_1600x900.jpg,,,
09/27/2025,4:20 PM,SIFF Cinema Uptown,Eleanor the Great,98,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_EleanortheGreat_1600x900.jpg,,,
